region,powertrain,year,unit,value
Australia,BEV,2011,Vehicles,49
Australia,BEV,2012,Vehicles,170
Australia,PHEV,2012,Vehicles,80
Australia,PHEV,2013,Vehicles,100
Australia,BEV,2013,Vehicles,190
Australia,BEV,2014,Vehicles,370
Australia,PHEV,2014,Vehicles,950
Australia,PHEV,2015,Vehicles,1000
Australia,BEV,2015,Vehicles,760
Australia,BEV,2016,Vehicles,670
Australia,PHEV,2016,Vehicles,700
Australia,PHEV,2017,Vehicles,1100
Australia,BEV,2017,Vehicles,1200
Australia,BEV,2018,Vehicles,1800
Australia,PHEV,2018,Vehicles,1800
Australia,PHEV,2019,Vehicles,2900
Australia,BEV,2019,Vehicles,6300
Australia,BEV,2020,Vehicles,5200
Australia,PHEV,2020,Vehicles,1700
Australia,PHEV,2021,Vehicles,3400
Australia,BEV,2021,Vehicles,17000
Australia,BEV,2022,Vehicles,33000
Australia,PHEV,2022,Vehicles,5900
Austria,BEV,2013,Vehicles,650
Austria,BEV,2014,Vehicles,1700
Austria,BEV,2015,Vehicles,1700
Austria,PHEV,2015,Vehicles,1100
Austria,PHEV,2016,Vehicles,1200
Austria,BEV,2016,Vehicles,3800
Austria,BEV,2017,Vehicles,5400
Austria,PHEV,2017,Vehicles,1700
Austria,PHEV,2018,Vehicles,2300
Austria,BEV,2018,Vehicles,6800
Austria,BEV,2019,Vehicles,9300
Austria,PHEV,2019,Vehicles,2200
Austria,PHEV,2020,Vehicles,7600
Austria,BEV,2020,Vehicles,16000
Austria,BEV,2021,Vehicles,33000
Austria,PHEV,2021,Vehicles,15000
Austria,PHEV,2022,Vehicles,13000
Austria,BEV,2022,Vehicles,34000
Belgium,BEV,2010,Vehicles,48
Belgium,PHEV,2010,Vehicles,8
Belgium,PHEV,2011,Vehicles,16
Belgium,BEV,2011,Vehicles,280
Belgium,PHEV,2012,Vehicles,340
Belgium,BEV,2012,Vehicles,570
Belgium,BEV,2013,Vehicles,500
Belgium,PHEV,2013,Vehicles,60
Belgium,PHEV,2014,Vehicles,650
Belgium,BEV,2014,Vehicles,1300
Belgium,BEV,2015,Vehicles,1400
Belgium,PHEV,2015,Vehicles,2500
Belgium,PHEV,2016,Vehicles,7100
Belgium,BEV,2016,Vehicles,2100
Belgium,BEV,2017,Vehicles,2700
Belgium,PHEV,2017,Vehicles,12000
Belgium,PHEV,2018,Vehicles,9600
Belgium,BEV,2018,Vehicles,3600
Belgium,BEV,2019,Vehicles,8800
Belgium,PHEV,2019,Vehicles,8900
Belgium,PHEV,2020,Vehicles,32000
Belgium,BEV,2020,Vehicles,15000
Belgium,BEV,2021,Vehicles,23000
Belgium,PHEV,2021,Vehicles,48000
Belgium,PHEV,2022,Vehicles,59000
Belgium,BEV,2022,Vehicles,38000
Brazil,BEV,2012,Vehicles,74
Brazil,PHEV,2012,Vehicles,18
Brazil,PHEV,2013,Vehicles,33
Brazil,BEV,2013,Vehicles,130
Brazil,BEV,2014,Vehicles,61
Brazil,BEV,2015,Vehicles,59
Brazil,PHEV,2015,Vehicles,28
Brazil,PHEV,2016,Vehicles,47
Brazil,BEV,2016,Vehicles,130
Brazil,BEV,2017,Vehicles,25
Brazil,PHEV,2017,Vehicles,290
Brazil,PHEV,2018,Vehicles,230
Brazil,BEV,2018,Vehicles,66
Brazil,BEV,2019,Vehicles,540
Brazil,PHEV,2019,Vehicles,1400
Brazil,PHEV,2020,Vehicles,1800
Brazil,BEV,2020,Vehicles,680
Brazil,BEV,2021,Vehicles,2900
Brazil,PHEV,2021,Vehicles,11000
Brazil,PHEV,2022,Vehicles,10000
Brazil,BEV,2022,Vehicles,8500
Canada,BEV,2011,Vehicles,220
Canada,PHEV,2011,Vehicles,300
Canada,PHEV,2012,Vehicles,1300
Canada,BEV,2012,Vehicles,620
Canada,BEV,2013,Vehicles,1600
Canada,PHEV,2013,Vehicles,1500
Canada,PHEV,2014,Vehicles,2300
Canada,BEV,2014,Vehicles,2800
Canada,BEV,2015,Vehicles,4400
Canada,PHEV,2015,Vehicles,2400
Canada,PHEV,2016,Vehicles,6400
Canada,BEV,2016,Vehicles,5200
Canada,BEV,2017,Vehicles,8700
Canada,PHEV,2017,Vehicles,8000
Canada,PHEV,2018,Vehicles,21000
Canada,BEV,2018,Vehicles,23000
Canada,BEV,2019,Vehicles,32000
Canada,PHEV,2019,Vehicles,19000
Canada,PHEV,2020,Vehicles,14000
Canada,BEV,2020,Vehicles,37000
Canada,BEV,2021,Vehicles,59000
Canada,PHEV,2021,Vehicles,28000
Canada,PHEV,2022,Vehicles,29000
Canada,BEV,2022,Vehicles,85000
Chile,BEV,2011,Vehicles,6
Chile,BEV,2012,Vehicles,5
Chile,BEV,2013,Vehicles,5
Chile,BEV,2014,Vehicles,3
Chile,PHEV,2014,Vehicles,14
Chile,PHEV,2015,Vehicles,23
Chile,BEV,2015,Vehicles,13
Chile,BEV,2016,Vehicles,22
Chile,PHEV,2016,Vehicles,9
Chile,PHEV,2017,Vehicles,15
Chile,BEV,2017,Vehicles,120
Chile,BEV,2018,Vehicles,110
Chile,PHEV,2018,Vehicles,68
Chile,PHEV,2019,Vehicles,140
Chile,BEV,2019,Vehicles,160
Chile,BEV,2020,Vehicles,110
Chile,PHEV,2020,Vehicles,79
Chile,PHEV,2021,Vehicles,300
Chile,BEV,2021,Vehicles,270
Chile,BEV,2022,Vehicles,880
Chile,PHEV,2022,Vehicles,620
China,PHEV,2010,Vehicles,340
China,BEV,2010,Vehicles,1100
China,BEV,2011,Vehicles,4800
China,PHEV,2011,Vehicles,320
China,PHEV,2012,Vehicles,260
China,BEV,2012,Vehicles,9600
China,BEV,2013,Vehicles,15000
China,PHEV,2013,Vehicles,730
China,PHEV,2014,Vehicles,24000
China,BEV,2014,Vehicles,49000
China,BEV,2015,Vehicles,150000
China,PHEV,2015,Vehicles,61000
China,PHEV,2016,Vehicles,79000
China,BEV,2016,Vehicles,260000
China,BEV,2017,Vehicles,470000
China,PHEV,2017,Vehicles,110000
China,PHEV,2018,Vehicles,270000
China,BEV,2018,Vehicles,820000
China,BEV,2019,Vehicles,830000
China,PHEV,2019,Vehicles,230000
China,PHEV,2020,Vehicles,220000
China,BEV,2020,Vehicles,920000
China,PHEV,2021,Vehicles,550000
China,BEV,2021,Vehicles,2700000
China,BEV,2022,Vehicles,4400000
China,PHEV,2022,Vehicles,1500000
Denmark,BEV,2011,Vehicles,420
Denmark,PHEV,2011,Vehicles,2
Denmark,PHEV,2012,Vehicles,12
Denmark,BEV,2012,Vehicles,490
Denmark,BEV,2013,Vehicles,500
Denmark,PHEV,2013,Vehicles,10
Denmark,PHEV,2014,Vehicles,90
Denmark,BEV,2014,Vehicles,1600
Denmark,BEV,2015,Vehicles,4300
Denmark,PHEV,2015,Vehicles,420
Denmark,PHEV,2016,Vehicles,570
Denmark,BEV,2016,Vehicles,1300
Denmark,BEV,2017,Vehicles,710
Denmark,PHEV,2017,Vehicles,620
Denmark,PHEV,2018,Vehicles,3100
Denmark,BEV,2018,Vehicles,1500
Denmark,BEV,2019,Vehicles,5500
Denmark,PHEV,2019,Vehicles,3900
Denmark,PHEV,2020,Vehicles,18000
Denmark,BEV,2020,Vehicles,14000
Denmark,BEV,2021,Vehicles,25000
Denmark,PHEV,2021,Vehicles,40000
Denmark,PHEV,2022,Vehicles,26000
Denmark,BEV,2022,Vehicles,31000
Finland,BEV,2011,Vehicles,30
Finland,BEV,2012,Vehicles,51
Finland,PHEV,2012,Vehicles,130
Finland,PHEV,2013,Vehicles,170
Finland,BEV,2013,Vehicles,50
Finland,BEV,2014,Vehicles,180
Finland,PHEV,2014,Vehicles,260
Finland,PHEV,2015,Vehicles,420
Finland,BEV,2015,Vehicles,240
Finland,BEV,2016,Vehicles,220
Finland,PHEV,2016,Vehicles,1200
Finland,PHEV,2017,Vehicles,2600
Finland,BEV,2017,Vehicles,500
Finland,BEV,2018,Vehicles,780
Finland,PHEV,2018,Vehicles,4900
Finland,PHEV,2019,Vehicles,6000
Finland,BEV,2019,Vehicles,1900
Finland,BEV,2020,Vehicles,4200
Finland,PHEV,2020,Vehicles,13000
Finland,PHEV,2021,Vehicles,20000
